"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p30_m100_n31",30,100,31,1.03333333333333,3.33333333333333,"Collapsed",1000,0.113040793016144,0.00364647719406915,0.156317525079738,0.0863915597604496,0.942,0.150683239974505,0.159999999999854,0.163420000000011,NA
"p30_m100_n31",30,100,31,1.03333333333333,3.33333333333333,"MLE",1000,0.0618459879113462,0.00199503186810794,0.108401314324943,NA,NA,0.150572344675993,0,0.000849999999996726,NA
"p30_m100_n31",30,100,31,1.03333333333333,3.33333333333333,"RWM",1000,0.114914161880334,0.0037069084477527,0.153778209989368,0.0842136770178715,0.699,0.150722590227043,1.82000000000062,1.82682,0.0189799949987497
"p3_m100_n6",3,100,6,2,33.3333333333333,"Collapsed",1000,0.0554076966212807,0.00923461610354678,0.277838392215375,0.277948187188626,0.952,0.0130110221142568,0.100000000000364,0.101809999999991,NA
"p3_m100_n6",3,100,6,2,33.3333333333333,"MLE",1000,0.0438247617651546,0.00730412696085909,0.274992836042207,NA,NA,0.0130208196812517,0,0.000360000000001492,NA
"p3_m100_n6",3,100,6,2,33.3333333333333,"RWM",1000,0.0573964304518772,0.00956607174197954,0.288392632832038,0.276684430871826,0.955,0.0130122468942632,0.839999999999236,0.84374,0.215278569642411
"p5_m100_n10",5,100,10,2,20,"Collapsed",1000,0.117232908582922,0.0117232908582922,0.31074930209294,0.292935716465151,0.941,0.0173523186283097,0.109999999999673,0.103929999999996,NA
"p5_m100_n10",5,100,10,2,20,"MLE",1000,0.0745868587968053,0.00745868587968053,0.295554463341645,NA,NA,0.0171866221143819,0,0.000499999999998181,NA
"p5_m100_n10",5,100,10,2,20,"RWM",1000,0.120058055142843,0.0120058055142843,0.326134616208792,0.289959458949359,0.926,0.0173831460436032,0.880000000000109,0.896250000000005,0.131354338584646
"p10_m100_n20",10,100,20,2,10,"Collapsed",1000,0.252493082964842,0.0126246541482421,0.395307847743817,0.307590952396249,0.9,0.0288955071742811,0.109999999999673,0.111689999999999,NA
"p10_m100_n20",10,100,20,2,10,"MLE",1000,0.147302468175335,0.00736512340876675,0.335482120060629,NA,NA,0.0284570209094221,0,0.000510000000005675,NA
"p10_m100_n20",10,100,20,2,10,"RWM",1000,0.253031628813528,0.0126515814406764,0.415934309795891,0.302767083587901,0.854,0.0289333808973475,0.970000000000255,0.988690000000016,0.0665886471617904
"p20_m100_n40",20,100,40,2,5,"Collapsed",1000,0.488769267580722,0.012219231689518,0.585257112522286,0.316057645002109,0.714,0.0544416808914118,0.130000000000109,0.130340000000001,NA
"p20_m100_n40",20,100,40,2,5,"MLE",1000,0.255200457526305,0.00638001143815763,0.406393418705302,NA,NA,0.0534101115748548,0,0.000639999999996689,NA
"p20_m100_n40",20,100,40,2,5,"RWM",1000,0.500017556279519,0.012500438906988,0.616825004500199,0.303500755323373,0.595,0.0545120708446774,1.30999999999949,1.31734999999999,0.0335143785946487
"p30_m100_n60",30,100,60,2,3.33333333333333,"Collapsed",1000,0.745688547258371,0.0124281424543062,0.813050897112447,0.31927485588514,0.486,0.0801421383686154,0.159999999999854,0.163369999999988,NA
"p30_m100_n60",30,100,60,2,3.33333333333333,"MLE",1000,0.383453361390097,0.00639088935650161,0.496229240029536,NA,NA,0.0784893372969351,0,0.000630000000001019,NA
"p30_m100_n60",30,100,60,2,3.33333333333333,"RWM",1000,0.748417081630689,0.0124736180271782,0.833629315538769,0.305676890647905,0.342,0.0801901194887808,2.03999999999996,2.05476999999999,0.0225078769692423
"p3_m100_n12",3,100,12,4,33.3333333333333,"Collapsed",1000,0.177825295607404,0.0148187746339504,0.654730081456671,0.636322587721321,0.944,0.00894733065696264,0.100000000000364,0.102380000000007,NA
"p3_m100_n12",3,100,12,4,33.3333333333333,"MLE",1000,0.128556938620021,0.0107130782183351,0.640072435473078,NA,NA,0.00884341769049353,0,0.000349999999997635,NA
"p3_m100_n12",3,100,12,4,33.3333333333333,"RWM",1000,0.17879974930665,0.0148999791088875,0.679754164852657,0.629098970733111,0.938,0.00904744801551241,0.840000000000146,0.859579999999996,0.171436359089772
"p5_m100_n20",5,100,20,4,20,"Collapsed",1000,0.314903977645057,0.0157451988822528,0.747158236302855,0.670831904475401,0.928,0.0107222714442956,0.100000000000364,0.103139999999994,NA
"p5_m100_n20",5,100,20,4,20,"MLE",1000,0.204619618926039,0.010230980946302,0.703731696913973,NA,NA,0.0104371229166998,0,0.000319999999998799,NA
"p5_m100_n20",5,100,20,4,20,"RWM",1000,0.306148632545198,0.0153074316272599,0.784789919607521,0.658715652768248,0.908,0.0107963861412546,0.869999999999891,0.872490000000003,0.103722680670168
"p10_m100_n40",10,100,40,4,10,"Collapsed",1000,0.647359638271381,0.0161839909567845,0.962930942488171,0.701881623065909,0.853,0.0166242337511337,0.109999999999673,0.110099999999978,NA
